,Title,Genre,Director,Actors,Plot,id,release year
34,Mermaids,"Comedy,Drama,Romance",Richard Benjamin,"Cher,Winona Ryder,Christina Ricci,Bob Hoskins","Fifteen-year-old Charlotte Flax is tired of her wacky mom moving their family to a different town any time she feels it is necessary. When they move to a small Massachusetts town and Mrs. Flax begins dating a shopkeeper, Charlotte and her 9-year-old sister, Kate, hope that they can finally settle down. But when Charlotte's attraction to an older man gets in the way, the family must learn to accept each other for who they truly are.",4587,1990-12-14
35,Revenge,"Romance,Thriller",Tony Scott,"Kevin Costner,Anthony Quinn,Madeleine Stowe,Tomás Milián","Michael ‘Jay’ Cochran has just left the Navy after 12 years and he's not quite sure what he's going to do, except that he knows he wants a holiday. He decides to visit Tiburon Mendez, a powerful but shady Mexican businessman who he once flew to Alaska for a hunting trip. Arriving at the Mendez mansion in Mexico, he is immediately surprised by the beauty and youth of Mendez’s wife, Miryea.",14249,1990-02-16
36,Marked for Death,"Action,Thriller",Dwight H. Little,"Steven Seagal,Basil Wallace,Keith David,Tom Wright","Just retired from the Drug Enforcement Agency, John Hatcher returns to his hometown and quickly discovers that drugs have infiltrated his old neighborhood. Determined to drive the dealers out, Hatcher crosses paths with a ferocious Jamaican drug lord who vows that Hatcher and his family are now marked for death.",10173,1990-10-05
37,Another 48 Hrs.,"Thriller,Action,Comedy,Crime,Drama",Walter Hill,"Eddie Murphy,Nick Nolte,Brion James,Kevin Tighe","For the past four years, San Francisco cop Jack Cates has been after an unidentified drug kingpin who calls himself the ""Ice Man"". Jack finds a picture that proves that the Ice Man has put a price on the head of Reggie Hammond, who is scheduled to be released from prison on the next day.",11595,1990-06-08
38,The NeverEnding Story II: The Next Chapter,"Drama,Family,Fantasy,Adventure",George T. Miller,"Jonathan Brandis,Kenny Morrison,Clarissa Burt,John Wesley Shipp","Once again, Bastian is transported to the world of Fantasia which he recently managed to save from destruction. However, the land is now being destroyed by an evil sorceress, Xayide, so he must join up with Atreyu and face the Emptiness once more.",34636,1990-10-24
39,Hamlet,"Drama,History",Franco Zeffirelli,"Mel Gibson,Glenn Close,Alan Bates,Paul Scofield","Hamlet, Prince of Denmark, finds out that his uncle Claudius killed his father to obtain the throne, and plans revenge.",10264,1990-12-19
40,Dick Tracy,"Adventure,Action,Comedy,Thriller,Crime",Warren Beatty,"Warren Beatty,Madonna,Mandy Patinkin,Al Pacino",The comic strip detective finds his life vastly complicated when Breathless Mahoney makes advances towards him while he is trying to battle Big Boy Caprice's united mob.,8592,1990-04-05
41,DuckTales: The Movie - Treasure of the Lost Lamp,"Adventure,Animation,Family,Comedy,Fantasy",Bob Hathcock,"Alan Young,Terence McGovern,Russi Taylor,Richard Libertini","With his nephews and niece, everyone's favorite rich uncle, Scrooge McDuck, treks from his mansion home in Duckburg in search of the long-lost loot of the thief Collie Baba. But finding the goods isn't quite what it's ""quacked"" up to be! Their thrilling adventure leads to comical chaos, magical mayhem, and a lesson about what is far more valuable than money, gold and jewels.",10837,1990-08-03
42,Days of Being Wild,"Crime,Drama,Romance",Wong Kar-wai,"Andy Lau,Leslie Cheung,Maggie Cheung,Jacky Cheung","Yuddy, a Hong Kong playboy known for breaking girls' hearts, tries to find solace and the truth after discovering the woman who raised him isn't his mother.",18311,1990-12-15
43,Problem Child,Comedy,Dennis Dugan,"John Ritter,Jack Warden,Michael Oliver,Gilbert Gottfried","Ben Healy (John Ritter) and his social climbing wife Flo adopt Junior a fun-loving seven year old. But they soon discover he's a little monster as he turns a camping trip, a birthday party and even a baseball game into comic nightmares. But is he really just a little angel trying to get out? Find out in this hilarious satire on modern-day family life.",11077,1990-07-27
44,Blue Steel,Thriller,Kathryn Bigelow,"Jamie Lee Curtis,Ron Silver,Clancy Brown,Elizabeth Peña","Megan Turner, a female rookie cop, gets involved in an armed robbery that goes awry. A witness becomes obsessed with her.",9491,1990-03-16
45,Dragon Ball Z: Bardock - The Father of Goku,"Action,Animation,Science Fiction,Drama",Mitsuo Hashimoto,"Masako Nozawa,Ryusei Nakao,Yukitoshi Hori,Show Hayami","Bardock, Son Goku's father, is a low-ranking Saiyan soldier who was given the power to see into the future by the last remaining alien on a planet he just destroyed. He witnesses the destruction of his race and must now do his best to stop Frieza's impending massacre.",39323,1990-10-17
46,Lionheart,Action,Sheldon Lettich,"Jean-Claude Van Damme,Harrison Page,Deborah Rennard,Ashley Johnson","Lyon Gaultier is a deserter in the Foreign Legion arriving in the USA entirely hard up. He finds his brother between life and death and his sister-in-law without the money needed to heal her husband and to maintain her child. To earn the money needed, Gaultier decides to take part in some very dangerous clandestine fights.",9399,1990-06-07
47,The Exorcist III,"Thriller,Horror,Mystery",William Peter Blatty,"George C. Scott,Ed Flanders,Brad Dourif,Jason Miller","Set fifteen years after the original film, The Exorcist III centers around the philosophical Lieutenant William F. Kinderman who is investigating a baffling series of murders around Georgetown that all contain the hallmarks of The Gemini, a deceased serial killer. It eventually leads him to a catatonic patient in a psychiatric hospital who has recently started to speak, claiming he is the The Gemini and detailing the murders, but bears a striking resemblance to Father Damien Karras.",11587,1990-08-17
48,Arachnophobia,"Comedy,Horror",Frank Marshall,"Jeff Daniels,Harley Jane Kozak,Garette Ratliff Henson,Marlene Katz","A large spider from the jungles of South America is accidentally transported in a crate with a dead body to America where it mates with a local spider. Soon after, the residents of a small California town disappear as the result of spider bites from the deadly spider offspring. It's up to a couple of doctors with the help of an insect exterminator to annihilate these eight legged freaks.",6488,1990-07-20
49,Dark Angel,"Action,Thriller,Science Fiction,Crime,Horror",Craig R. Baxley,"Dolph Lundgren,Brian Benben,Betsy Brantley,Matthias Hues","Jack Caine is a Houston vice cop who's forgotten the rule book. His self-appointed mission is to stop the drugs trade and the number one supplier Victor Manning. Whilst involved in an undercover operation to entrap Victor Manning, his partner gets killed, and a sinister newcomer enters the scene...",19384,1990-01-26
50,The Rookie,"Action,Crime,Drama,Thriller",Clint Eastwood,"Clint Eastwood,Charlie Sheen,Raúl Juliá,Sônia Braga","Veteran cop Nick Pulovski is used to playing musical partners; many of the partners he's had in the past have died on the job, and often as a result of Nick's risky tactics. But the rookie who's been assigned to help Nick bust a carjacking ring is almost as hotheaded as he is … and when Nick gets kidnapped, his newbie partner is his only hope.",6723,1990-12-06
51,Troll 2,Horror,Claudio Fragasso,"Michael Stephenson,George Hardy,Margo Prey,Connie Young",A young child is terrified to discover that a planned family trip is to be haunted by vile plant-eating monsters out of his worst nightmare...,26914,1990-10-12
52,Internal Affairs,"Crime,Drama",Mike Figgis,"Richard Gere,Andy García,Laurie Metcalf,Nancy Travis","Keen young Raymold Avila joins the Internal Affairs Department of the Los Angeles police. He and partner Amy Wallace are soon looking closely at the activities of cop Dennis Peck whose financial holdings start to suggest something shady. Indeed Peck is involved in any number of dubious or downright criminal activities. He is also devious, a womaniser, and a clever manipulator, and he starts to turn his attention on Avila.",11060,1990-01-12
53,Hard to Kill,"Action,Thriller",Bruce Malmuth,"Steven Seagal,Kelly LeBrock,William Sadler,Frederick Coffin","Mason Storm, a 'go it alone' cop, is gunned down at home. The intruders kill his wife, and think they've killed both Mason and his son too. Mason is secretly taken to a hospital where he spends several years in a coma. His son meanwhile is growing up thinking his father is dead. When Mason wakes up, everyone is in danger - himself, his son, his best friend, his nurse - but most of all those who arranged for his death",9569,1990-02-09
54,Henry & June,Romance,Philip Kaufman,"Fred Ward,Uma Thurman,Maria de Medeiros,Kevin Spacey","While traveling in Paris, author Henry Miller and his wife, June, meet Anais Nin, and sexual sparks fly as Nin starts an affair with the openly bisexual June. When June is forced to return to the U.S., she gives Nin her blessing to sleep with her husband. Then, when June returns to France, an unexpected, and sometimes contentious, threesome forms.",17993,1990-09-28
55,Delta Force 2: The Colombian Connection,"Action,Adventure",Aaron Norris,"Chuck Norris,Billy Drago,John P. Ryan,Richard Jaeckel","When DEA agents are taken captive by a ruthless South American kingpin, the Delta Force is reunited to rescue them in this sequel to the 1986 film.",19086,1990-08-24
56,King of New York,"Thriller,Crime",Abel Ferrara,"Christopher Walken,David Caruso,Laurence Fishburne,Victor Argo",A former drug lord returns from prison determined to wipe out all his competition and distribute the profits of his operations to New York's poor and lower classes in this stylish and ultra violent modern twist on Robin Hood.,9558,1990-07-18
57,Nightbreed,"Action,Drama,Fantasy,Horror",Clive Barker,"Craig Sheffer,Anne Bobby,David Cronenberg,Charles Haid",A troubled young man is drawn to a mythical place called Midian where a variety of monsters are hiding from humanity.,20481,1990-02-16
58,3 Men and a Little Lady,"Comedy,Family",Emile Ardolino,"Tom Selleck,Steve Guttenberg,Ted Danson,Nancy Travis","Sylvia's work increasingly takes her away from the three men who help bring up Mary, her daughter. When she decides to move to England and take Mary with her, the three men are heartbroken at losing the two most important females in their lives.",11630,1990-11-21
59,Terminator 2: Judgment Day,"Action,Thriller,Science Fiction",James Cameron,"Arnold Schwarzenegger,Linda Hamilton,Robert Patrick,Edward Furlong","Nearly 10 years have passed since Sarah Connor was targeted for termination by a cyborg from the future. Now her son, John, the future leader of the resistance, is the target for a newer, more deadly terminator. Once again, the resistance has managed to send a protector back to attempt to save John and his mother Sarah.",280,1991-07-03
60,Beauty and the Beast,"Romance,Family,Animation,Fantasy",Kirk Wise,"Paige O'Hara,Robby Benson,Richard White,Jerry Orbach","Follow the adventures of Belle, a bright young woman who finds herself in the castle of a prince who's been turned into a mysterious beast. With the help of the castle's enchanted staff, Belle soon learns the most important lesson of all -- that true beauty comes from within.",10020,1991-11-13
61,The Addams Family,"Horror,Comedy,Fantasy",Barry Sonnenfeld,"Raúl Juliá,Anjelica Huston,Christopher Lloyd,Christina Ricci","Uncle Fester has been missing for 25 years. An evil doctor finds out and introduces a fake Fester in an attempt to get the Addams Family's money. The youngest daughter has some doubts about the new uncle Fester, but the fake uncle adapts very well to the strange family. Can the doctor carry out her evil plans and take over the Addams Family's fortune?",2907,1991-11-22
62,Operation Condor,"Action,Adventure,Crime,Thriller",Jackie Chan,"Jackie Chan,Carol Cheng,Eva Cobo,Shôko Ikeda",Agent Jackie is hired to find WWII Nazi gold hidden in the Sahara desert. He teams up with three bungling women (the 3 stooges?) who are all connected in some way. However a team of mercenries have ideas on the ownership of the gold. A battle / chase ensues as to who gets there first. Lots of choregraphed Kung-Fu and quirky Chan humor.,10975,1991-02-07
63,Point Break,"Action,Thriller,Crime",Kathryn Bigelow,"Patrick Swayze,Keanu Reeves,Gary Busey,Lori Petty","In the coastal town of Los Angeles, a gang of bank robbers call themselves The Ex-Presidents commit their crimes while wearing masks of Reagan, Carter, Nixon and Johnson. The F.B.I. believes that the members of the gang could be surfers and send young agent Johnny Utah undercover at the beach to mix with the surfers and gather information.",1089,1991-07-12
64,Highlander 2: The Quickening,"Action,Fantasy,Science Fiction",Russell Mulcahy,"Christopher Lambert,Sean Connery,Virginia Madsen,Michael Ironside","In the year 2025, the ozone layer is believed to have been destroyed. It is up to MacLeod and Rameriz to set things right. Opposition comes from both the planet Ziest (MacLeod and Ramirez's homeworld) and a corporation profiting from the supposed lack of ozone. Also, flashbacks show the story behind MacLeod and Ramirez's exile from Ziest.",8010,1991-10-16
65,My Own Private Idaho,"Drama,Adventure",Gus Van Sant,"River Phoenix,Keanu Reeves,James Russo,William Richert","In this loose adaptation of Shakespeare's ""Henry IV,"" Mike Waters is a gay hustler afflicted with narcolepsy. Scott Favor is the rebellious son of a mayor. Together, the two travel from Portland, Oregon to Idaho and finally to the coast of Italy in a quest to find Mike's estranged mother. Along the way they turn tricks for money and drugs, eventually attracting the attention of a wealthy benefactor and sexual deviant.",468,1991-09-29
66,Robin Hood: Prince of Thieves,"Adventure,Action,Drama,Romance",Kevin Reynolds,"Kevin Costner,Morgan Freeman,Christian Slater,Mary Elizabeth Mastrantonio","When the dastardly Sheriff of Nottingham murders Robin's father, the legendary archer vows vengeance. To accomplish his mission, Robin joins forces with a band of exiled villagers (and comely Maid Marian), and together they battle to end the evil sheriff's reign of terror.",8367,1991-06-14
67,Bill & Ted's Bogus Journey,"Adventure,Comedy,Fantasy,Science Fiction,Music",Peter Hewitt,"Keanu Reeves,Alex Winter,George Carlin,William Sadler","Amiable slackers Bill and Ted are once again roped into a fantastical adventure when De Nomolos, a villain from the future, sends evil robot duplicates of the two lads to terminate and replace them. The robot doubles actually succeed in killing Bill and Ted, but the two are determined to escape the afterlife, challenging the Grim Reaper to a series of games in order to return to the land of the living.",1649,1991-07-19
68,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,"Science Fiction,Adventure,Action,Comedy,Family",Michael Pressman,"Paige Turco,David Warner,Michelan Sisti,Leif Tilden","The Turtles and the Shredder battle once again, this time for the last cannister of the ooze that created the Turtles, which Shredder wants to create an army of new mutants.",1497,1991-03-22
69,K2,"Thriller,Action,Adventure,Drama",Franc Roddam,"Michael Biehn,Matt Craven,Annie Grindlay,Blu Mankuma","They call it the savage mountain. 27 people have perished trying to reach the summit on K2, the world's second highest peak. A U.S. climbing team, funded by millionaire Clairborne is determined to conquer K2.",24734,1991-10-09
70,Backdraft,"Action,Crime,Drama,Mystery,Thriller",Ron Howard,"Kurt Russell,William Baldwin,Robert De Niro,Donald Sutherland",They say a blast of flames can take a life ... and hide a secret. But now firemen brothers Brian and Stephen McCaffrey are battling each other over past slights while trying to stop an arsonist with a diabolical agenda from torching Chicago.,2924,1991-05-24
71,Hook,"Adventure,Fantasy,Comedy,Family",Steven Spielberg,"Robin Williams,Dustin Hoffman,Julia Roberts,Bob Hoskins","The boy who wasn't supposed to grow up—Peter Pan—did just that, becoming a soulless corporate lawyer whose workaholism could cost him his wife and kids. But a trip to see Granny Wendy in London, where the vengeful Capt. Hook kidnaps Peter's kids and forces Peter to return to Neverland, could lead to a chance at redemption, in this family-oriented fantasy from director Steven Spielberg.",879,1991-12-11
72,Double Impact,"Thriller,Action,Crime,Drama",Sheldon Lettich,"Jean-Claude Van Damme,Geoffrey Lewis,Alonna Shaw,Corey Everson","Jean Claude Van Damme plays a dual role as Alex and Chad, twins separated at the death of their parents. Chad is raised by a family retainer in Paris, Alex becomes a petty crook in Hong Kong. Seeing a picture of Alex, Chad rejoins him and convinces him that his rival in Hong Kong is also the man who killed their parents. Alex is suspicious of Chad, especially when it comes to his girlfriend.",9594,1991-07-31
73,JFK,"Drama,Thriller,History",Oliver Stone,"Kevin Costner,Tommy Lee Jones,Gary Oldman,Kevin Bacon",New Orleans District Attorney Jim Garrison discovers there's more to the Kennedy assassination than the official story.,820,1991-12-20
74,Thelma & Louise,"Drama,Thriller,Crime,Adventure",Ridley Scott,"Susan Sarandon,Geena Davis,Harvey Keitel,Michael Madsen","Whilst on a short weekend getaway, Louise shoots a man who had tried to rape Thelma. Due to the incriminating circumstances, they make a run for it and thus a cross country chase ensues for the two fugitives. Along the way, both women rediscover the strength of their friendship and surprising aspects of their personalities and self-strengths in the trying times.",1541,1991-05-24
75,The Naked Gun 2½: The Smell of Fear,"Comedy,Crime",David Zucker,"Leslie Nielsen,Priscilla Presley,George Kennedy,O.J. Simpson","Bumbling cop Frank Drebin is out to foil the big boys in the energy industry, who intend to suppress technology that will put them out of business.",37137,1991-06-28
76,The Last Boy Scout,"Action,Thriller",Tony Scott,"Bruce Willis,Damon Wayans,Chelsea Field,Noble Willingham","When the girl that detective Joe Hallenback is protecting gets murdered, the boyfriend of the murdered girl attempts to investigate and solve the case. What they discover is that there is deep seated corruption going on between a crooked politician and the owner of a pro football team.",9319,1991-12-11
77,Problem Child 2,Comedy,Brian Levant,"John Ritter,Michael Oliver,Jack Warden,Laraine Newman","Junior and his father, Ben, move from Cold River to Mortville. Junior becomes threatened by Ben's desire to date again and find a new mother for Junior, and sabotages each of his dates.",28597,1991-07-03
78,Cape Fear,"Crime,Thriller,Drama",Martin Scorsese,"Robert De Niro,Nick Nolte,Jessica Lange,Juliette Lewis","Sam Bowden is a small-town corporate attorney. Max Cady is a tattooed, cigar-smoking, bible-quoting, psychotic rapist. What do they have in common? Fourteen years ago, Sam was a public defender assigned to Max Cady's rape trial, and he made a serious error: he hid a document from his illiterate client that could have gotten him acquitted. Now, the cagey, bibliophile Cady has been released, and he intends to teach Sam Bowden and his family a thing or two about loss.",1598,1991-11-15
