,Title,Genre,Director,Actors,Plot,id,release year
808,School of Rock,"Comedy,Music",Richard Linklater,"Jack Black,Sarah Silverman,Joan Cusack,Mike White","Fired from his band and hard up for cash, guitarist and vocalist Dewey Finn finagles his way into a job as a fifth-grade substitute teacher at a private school, where he secretly begins teaching his students the finer points of rock 'n' roll. The school's hard-nosed principal is rightly suspicious of Finn's activities. But Finn's roommate remains in the dark about what he's doing.",1584,2003-10-03
809,The Last Samurai,"Drama,Action,War,History",Edward Zwick,"Tom Cruise,Ken Watanabe,William Atherton,Chad Lindberg","Nathan Algren is an American hired to instruct the Japanese army in the ways of modern warfare, which finds him learning to respect the samurai and the honorable principles that rule them. Pressed to destroy the samurai's way of life in the name of modernization and open trade, Algren decides to become an ultimate warrior himself and to fight for their right to exist.",616,2003-12-05
810,Cradle 2 the Grave,"Action,Crime,Drama",Andrzej Bartkowiak,"Jet Li,DMX,Kelly Hu,Anthony Anderson","Gang leader Tony pulls off a major diamond heist with his crew, but cop-turned-criminal Ling knows who has the loot and responds by kidnapping Tony's daughter and holding her for ransom. Unfortunately, Tony's lost the diamonds as well. As he frantically searches for his daughter and the jewels, Tony pairs with a high-kicking government agent who once worked with Ling and seeks revenge on him.",10623,2003-02-28
811,Tears of the Sun,"Action,Drama,War",Antoine Fuqua,"Bruce Willis,Monica Bellucci,Cole Hauser,Eamonn Walker","Navy SEAL Lieutenant A.K. Waters and his elite squadron of tactical specialists are forced to choose between their duty and their humanity, between following orders by ignoring the conflict that surrounds them, or finding the courage to follow their conscience and protect a group of innocent refugees. When the democratic government of Nigeria collapses and the country is taken over by a ruthless military dictator, Waters, a fiercely loyal and hardened veteran is dispatched on a routine mission to retrieve a Doctors Without Borders physician.",9567,2003-03-07
812,Brother Bear,"Adventure,Animation,Family",Robert Walker,"Joaquin Phoenix,Jeremy Suarez,Jason Raize,Rick Moranis","When an impulsive boy named Kenai is magically transformed into a bear, he must literally walk in another's footsteps until he learns some valuable life lessons. His courageous and often zany journey introduces him to a forest full of wildlife, including the lovable bear cub Koda, hilarious moose Rutt and Tuke, woolly mammoths and rambunctious rams.",10009,2003-10-23
813,Lost in Translation,"Drama,Romance,Comedy",Sofia Coppola,"Bill Murray,Scarlett Johansson,Giovanni Ribisi,Anna Faris","Two lost souls visiting Tokyo -- the young, neglected wife of a photographer and a washed-up movie star shooting a TV commercial -- find an odd solace and pensive freedom to be real in each other's company, away from their lives in America.",153,2003-08-31
814,Gothika,"Horror,Thriller",Mathieu Kassovitz,"Halle Berry,Robert Downey Jr.,Charles S. Dutton,Penélope Cruz","After a car crash, a criminal psychologist comes to, only to find that she's a patient in the same mental institution that currently employs her. It seems she's been accused of murdering her husband -- but she has no memory of committing the crime. As she tries to regain her memory and convince her co-workers of her innocence, a vengeful spirit uses her as an earthly pawn, which further convinces everyone of her guilt.",4970,2003-11-21
815,Mystic River,"Thriller,Crime,Drama,Mystery",Clint Eastwood,"Sean Penn,Tim Robbins,Kevin Bacon,Laurence Fishburne",The lives of three men who were childhood friends are shattered when one of them has a family tragedy.,322,2003-10-07
816,The Dreamers,"Drama,Romance",Bernardo Bertolucci,"Michael Pitt,Eva Green,Louis Garrel,Anna Chancellor",A young American studying in Paris in 1968 strikes up a friendship with a French brother and sister. Set against the background of the '68 Paris student riots.,1278,2003-09-01
817,Dogville,"Crime,Drama,Thriller",Lars von Trier,"Nicole Kidman,Harriet Andersson,Lauren Bacall,Jean-Marc Barr","A barren soundstage is stylishly utilized to create a minimalist small-town setting in which a mysterious woman named Grace hides from the criminals who pursue her. The town is two-faced and offers to harbor Grace as long as she can make it worth their effort, so Grace works hard under the employ of various townspeople to win their favor. Tensions flare, however, and Grace's status as a helpless outsider provokes vicious contempt and abuse from the citizens of Dogville.",553,2003-05-19
818,Identity,"Mystery,Thriller",James Mangold,"John Cusack,Ray Liotta,Amanda Peet,John Hawkes","Complete strangers stranded at a remote desert motel during a raging storm soon find themselves the target of a deranged murderer. As their numbers thin out, the travelers begin to turn on each other, as each tries to figure out who the killer is.",2832,2003-04-25
819,"Legally Blonde 2: Red, White & Blonde",Comedy,Charles Herman-Wurmfeld,"Reese Witherspoon,Sally Field,Regina King,Jennifer Coolidge","After Elle Woods, the eternally perky, fashionably adventurous, famously blonde Harvard Law grad gets fired by her law firm because of her opposition to animal testing, she takes her fight to Washington. As an aide for Congresswoman Victoria Rudd, she pushes for a bill to ban testing once and for all, but it's her building's doorman who advises her on how to get her way on the Hill.",10327,2003-07-02
820,Thirteen,"Crime,Drama",Catherine Hardwicke,"Evan Rachel Wood,Nikki Reed,Vanessa Hudgens,Holly Hunter","Tracy is a normal 13-year-old trying to make it in school. After befriending the most popular girl at school, Evie, Tracy's world is turned upside down when Evie introduces her to a world of sex, drugs and cash. But it isn't long before Tracy's new world and attitude finally takes a toll on her, her family, and old friends.",11023,2003-08-20
821,Home Alone 4,"Crime,Comedy,Family",Rod Daniel,"French Stewart,Erick Avari,Mike Weinberg,Barbara Babcock","Kevin McCallister's parents have split up. Now living with his mom, he decides to spend Christmas with his dad at the mansion of his father's rich girlfriend, Natalie. Meanwhile robber Marv Merchants, one of the villains from the first two movies, partners up with a new criminal named Vera to hit Natalie's mansion.",12536,2003-11-26
822,Under the Tuscan Sun,"Romance,Comedy",Audrey Wells,"Diane Lane,Sandra Oh,Lindsay Duncan,Raoul Bova","After a rough divorce, Frances, a 35 year old book editor from San Francisco takes a tour of Tuscany at the urgings of her friends. On a whim she buys Bramasole, a run down villa in the Tuscan countryside and begins to piece her life together starting with the villa and finds that life sometimes has unexpected ways of giving her everything she wanted.",10934,2003-04-30
823,The Core,"Action,Thriller,Adventure,Science Fiction",Jon Amiel,"Aaron Eckhart,Hilary Swank,Delroy Lindo,Stanley Tucci","Geophysicist Dr. Josh Keyes discovers that an unknown force has caused the earth's inner core to stop rotating. With the planet's magnetic field rapidly deteriorating, our atmosphere literally starts to come apart at the seams with catastrophic consequences. To resolve the crisis, Keyes, along with a team of the world's most gifted scientists, travel into the earth's core. Their mission: detonate a device that will reactivate the core.",9341,2003-03-28
824,Cold Mountain,"Adventure,Drama,History,Romance",Anthony Minghella,"Jude Law,Nicole Kidman,Renée Zellweger,Eileen Atkins","In this classic story of love and devotion set against the backdrop of the American Civil War, a wounded Confederate soldier named W.P. Inman deserts his unit and travels across the South, aiming to return to his young wife, Ada, who he left behind to tend their farm. As Inman makes his perilous journey home, Ada struggles to keep their home intact with the assistance of Ruby, a mysterious drifter sent to help her by a kindly neighbor.",2289,2003-12-24
825,The Haunted Mansion,"Thriller,Fantasy,Comedy,Family,Mystery",Rob Minkoff,"Eddie Murphy,Terence Stamp,Nathaniel Parker,Marsha Thomason","Workaholic Jim Evers and his wife/business partner, Sara get a call one night from mansion owner, Edward Gracey wants to sell his house. Once the Evers family arrive at the mansion a butler takes them to dine with Gracey. Gracey takes one look at Sara and he thinks she's his lost lover.",10756,2003-11-25
826,Cheaper by the Dozen,"Comedy,Family",Shawn Levy,"Steve Martin,Bonnie Hunt,Piper Perabo,Tom Welling","The Baker brood moves to Chicago after patriarch Tom gets a job coaching football at Northwestern University, forcing his writer wife, Mary, and the couple's 12 children to make a major adjustment. The transition works well until work demands pull the parents away from home, leaving the kids bored -- and increasingly mischievous.",11007,2003-12-24
827,A Man Apart,"Action,Drama",F. Gary Gray,"Vin Diesel,Larenz Tate,Timothy Olyphant,Geno Silva","When Vetter's wife is killed in a botched hit organized by Diablo, he seeks revenge against those responsible. But in the process, Vetter and Hicks have to fight their way up the chain to get to Diablo but it's easier said than done when all Vetter can focus on is revenge.",8409,2003-04-04
828,Final Destination 2,"Horror,Mystery",David R. Ellis,"Ali Larter,A.J. Cook,Michael Landes,David Paetkau","When Kimberly has a violent premonition of a highway pileup she blocks the freeway, keeping a few others meant to die, safe...Or are they? The survivors mysteriously start dying and it's up to Kimberly to stop it before she's next.",9358,2003-01-31
829,Charlie's Angels: Full Throttle,"Action,Adventure,Comedy",McG,"Cameron Diaz,Drew Barrymore,Lucy Liu,Bernie Mac","The Angels are charged with finding a pair of missing rings that are encoded with the personal information of members of the Witness Protection Program. As informants are killed, the ladies target a rogue agent who might be responsible.",9471,2003-06-27
830,Agent Cody Banks,Action,Harald Zwart,"Frankie Muniz,Hilary Duff,Angie Harmon,Keith David","Recruited by the U.S. government to be a special agent, nerdy teenager Cody Banks must get closer to cute classmate Natalie in order to learn about an evil plan hatched by her father. But despite the agent persona, Cody struggles with teen angst.",10923,2003-03-14
831,The Life of David Gale,"Drama,Thriller,Crime",Alan Parker,"Kevin Spacey,Kate Winslet,Laura Linney,Gabriel Mann",A man against capital punishment is accused of murdering a fellow activist and is sent to death row.,11615,2003-02-21
832,The Hunted,"Drama,Action,Thriller,Crime",William Friedkin,"Tommy Lee Jones,Benicio del Toro,Connie Nielsen,Leslie Stefanson","In the wilderness of British Columbia, two hunters are tracked and viciously murdered by Aaron Hallum. A former Special Operations instructor is approached and asked to apprehend Hallum—his former student—who has 'gone rogue' after suffering severe battle stress from his time in Kosovo.",10632,2003-03-11
833,Taxi 3,"Action,Comedy",Gérard Krawczyk,"Samy Naceri,Frédéric Diefenthal,Marion Cotillard,Emma Wiklund","A gang of thieves calling themselves the Santa Claus Gang are wreaking havoc, and the police can't keep up. Police Captain Gilbert is distracted by a Chinese reporter writing a story on his squad, and taxi driver Daniel is in the midst of a relationship crisis. After a string of mistakes in which the thieves outsmart the police time and time again, Daniel and his super-taxi pitch in.",2334,2003-01-29
834,Basic,"Action,Drama,Mystery,Thriller,Crime",John McTiernan,"John Travolta,Connie Nielsen,Samuel L. Jackson,Giovanni Ribisi",A DEA agent investigates the disappearance of a legendary Army ranger drill sergeant and several of his cadets during a training exercise gone severely awry.,10782,2003-04-18
835,Hellboy,"Fantasy,Action,Science Fiction",Guillermo del Toro,"Ron Perlman,John Hurt,Selma Blair,Rupert Evans","In the final days of World War II, the Nazis attempt to use black magic to aid their dying cause. The Allies raid the camp where the ceremony is taking place, but not before a demon - Hellboy - has already been conjured. Joining the Allied forces, Hellboy eventually grows to adulthood, serving the cause of good rather than evil.",1487,2004-04-02
836,Harry Potter and the Prisoner of Azkaban,"Adventure,Fantasy,Family",Alfonso Cuarón,"Daniel Radcliffe,Rupert Grint,Emma Watson,Gary Oldman","Harry, Ron and Hermione return to Hogwarts for another magic-filled year. Harry comes face to face with danger yet again, this time in the form of escaped convict, Sirius Black—and turns to sympathetic Professor Lupin for help.",673,2004-05-31
837,"I, Robot","Action,Science Fiction",Alex Proyas,"Will Smith,Bridget Moynahan,Alan Tudyk,James Cromwell","In 2035, where robots are common-place and abide by the three laws of robotics, a techno-phobic cop investigates an apparent suicide. Suspecting that a robot may be responsible for the death, his investigation leads him to believe that humanity may be in danger.",2048,2004-07-15
838,The Incredibles,"Action,Adventure,Animation,Family",Brad Bird,"Craig T. Nelson,Holly Hunter,Sarah Vowell,Spencer Fox","Bob Parr has given up his superhero days to log in time as an insurance adjuster and raise his three children with his formerly heroic wife in suburbia. But when he receives a mysterious assignment, it's time to get back into costume.",9806,2004-11-05
839,Saw,"Horror,Mystery,Crime",James Wan,"Leigh Whannell,Cary Elwes,Danny Glover,Ken Leung","Obsessed with teaching his victims the value of life, a deranged, sadistic serial killer abducts the morally wayward. Once captured, they must face impossible choices in a horrific game of survival. The victims must fight to win their lives back, or die trying...",176,2004-10-01
840,Shrek 2,"Adventure,Animation,Comedy,Family,Fantasy",Conrad Vernon,"Mike Myers,Eddie Murphy,Cameron Diaz,Julie Andrews","Shrek, Fiona and Donkey set off to Far, Far Away to meet Fiona's mother and father. But not everyone is happy. Shrek and the King find it hard to get along, and there's tension in the marriage. The fairy godmother discovers that Shrek has married Fiona instead of her Son Prince Charming and sets about destroying their marriage.",809,2004-05-19
841,The Princess Diaries 2: Royal Engagement,"Comedy,Drama,Family,Romance",Garry Marshall,"Anne Hathaway,Julie Andrews,Héctor Elizondo,John Rhys-Davies","Mia Thermopolis is now a college graduate and on her way to Genovia to take up her duties as princess. Her best friend Lilly also joins her for the summer. Mia continues her 'princess lessons'- riding horses side-saddle, archery, and other royal. But her complicated life is turned upside down once again when she not only learns that she is to take the crown as queen earlier than expected...",11130,2004-08-06
842,Troy,"Adventure,History",Wolfgang Petersen,"Brad Pitt,Orlando Bloom,Eric Bana,Brian Cox","In year 1250 B.C. during the late Bronze age, two emerging nations begin to clash. Paris, the Trojan prince, convinces Helen, Queen of Sparta, to leave her husband Menelaus, and sail with him back to Troy. After Menelaus finds out that his wife was taken by the Trojans, he asks his brother Agamemnom to help him get her back. Agamemnon sees this as an opportunity for power. So they set off with 1,000 ships holding 50,000 Greeks to Troy. With the help of Achilles, the Greeks are able to fight the never before defeated Trojans.",652,2004-05-03
843,Kill Bill: Vol. 2,"Action,Crime,Thriller",Quentin Tarantino,"Uma Thurman,David Carradine,Daryl Hannah,Michael Madsen","The Bride unwaveringly continues on her roaring rampage of revenge against the band of assassins who had tried to kill her and her unborn child. She visits each of her former associates one-by-one, checking off the victims on her Death List Five until there's nothing left to do … but kill Bill.",393,2004-04-16
844,Howl's Moving Castle,"Fantasy,Animation,Adventure",Hayao Miyazaki,"Chieko Baishô,Takuya Kimura,Akihiro Miwa,Tatsuya Gashûin","When Sophie, a shy young woman, is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.",4935,2004-11-19
845,Shark Tale,"Animation,Action,Comedy,Family",Rob Letterman,"Will Smith,Robert De Niro,Renée Zellweger,Jack Black","Oscar is a small fish whose big aspirations often get him into trouble. Meanwhile, Lenny is a great white shark with a surprising secret that no sea creature would guess: He's a vegetarian. When a lie turns Oscar into an improbable hero and Lenny becomes an outcast, the two form an unlikely friendship.",10555,2004-09-20
846,Eternal Sunshine of the Spotless Mind,"Science Fiction,Drama,Romance",Michel Gondry,"Jim Carrey,Kate Winslet,Kirsten Dunst,Mark Ruffalo","Joel Barish, heartbroken that his girlfriend underwent a procedure to erase him from her memory, decides to do the same. However, as he watches his memories of her fade away, he realises that he still loves her, and may be too late to correct his mistake.",38,2004-03-19
847,Ladder 49,"Drama,Action,Thriller",Jay Russell,"Joaquin Phoenix,John Travolta,Jacinda Barrett,Robert Patrick","Under the watchful eye of his mentor, Captain Mike Kennedy, probationary firefighter Jack Morrison matures into a seasoned veteran at a Baltimore fire station. However, Jack has reached a crossroads  as the sacrifices he's made have put him in harm's way innumerable times and significantly impacted his relationship with his wife and kids.",11128,2004-10-01
848,The Lion King 1½,"Animation,Comedy,Family",Bradley Raymond,"Nathan Lane,Ernie Sabella,Julie Kavner,Jerry Stiller",Timon the meerkat and Pumbaa the warthog are best pals and the unsung heroes of the African savanna. This prequel to the smash Disney animated adventure takes you back -- way back -- before Simba's adventure began. You'll find out all about Timon and Pumbaa and tag along as they search for the perfect home and attempt to raise a rambunctious lion cub.,11430,2004-02-06
849,Million Dollar Baby,Drama,Clint Eastwood,"Clint Eastwood,Hilary Swank,Morgan Freeman,Jay Baruchel","Despondent over a painful estrangement from his daughter, trainer Frankie Dunn isn't prepared for boxer Maggie Fitzgerald to enter his life. But Maggie's determined to go pro and to convince Dunn and his cohort to help her.",70,2004-12-15
850,The Notebook,"Romance,Drama",Nick Cassavetes,"Rachel McAdams,Ryan Gosling,Gena Rowlands,James Garner","An epic love story centered around an older man who reads aloud to a woman with Alzheimer's. From a faded notebook, the old man's words bring to life the story about a couple who is separated by World War II, and is then passionately reunited, seven years later, after they have taken different paths.",11036,2004-06-25
851,Collateral,"Drama,Crime,Thriller",Michael Mann,"Tom Cruise,Jamie Foxx,Jada Pinkett Smith,Mark Ruffalo",Cab driver Max picks up a man who offers him $600 to drive him around. But the promise of easy money sours when Max realizes his fare is an assassin.,1538,2004-08-04
852,The Passion of the Christ,Drama,Mel Gibson,"Jim Caviezel,Maia Morgenstern,Monica Bellucci,Rosalinda Celentano","""The Passion of the Christ"" is a film about the last 12 hours in the life of Jesus. Director Mel Gibson received much criticism from critics and audiences for his explicit depiction of and focus on violence and on Christ's suffering, especially on the part of the Jewish community. The film's languages are Arabic, Latin and Hebrew and it's actors are laymen which was controversially received as well.",615,2004-02-25
853,The Butterfly Effect,"Science Fiction,Thriller",J. Mackye Gruber,"Ashton Kutcher,Melora Walters,Amy Smart,Elden Henson","A young man struggles to access sublimated childhood memories. He finds a technique that allows him to travel back into the past, to occupy his childhood body and change history. However, he soon finds that every change he makes has unexpected consequences.",1954,2004-01-22
854,The Aviator,Drama,Martin Scorsese,"Leonardo DiCaprio,Cate Blanchett,Kate Beckinsale,John C. Reilly","A biopic depicting the life of filmmaker and aviation pioneer Howard Hughes from 1927 to 1947, during which time he became a successful film producer and an aviation magnate, while simultaneously growing more unstable due to severe obsessive-compulsive disorder.",2567,2004-12-17
855,Blade: Trinity,"Science Fiction,Action,Horror,Thriller,Adventure,Fantasy",David S. Goyer,"Wesley Snipes,Kris Kristofferson,Dominic Purcell,Jessica Biel","For years, Blade has fought against the vampires in the cover of the night. But now, after falling into the crosshairs of the FBI, he is forced out into the daylight, where he is driven to join forces with a clan of human vampire hunters he never knew existed—The Nightstalkers. Together with Abigail and Hannibal, two deftly trained Nightstalkers, Blade follows a trail of blood to the ancient creature that is also hunting him—the original vampire, Dracula.",36648,2004-12-08
856,AVP: Alien vs. Predator,"Adventure,Science Fiction,Action,Horror",Paul W.S. Anderson,"Sanaa Lathan,Raoul Bova,Ewen Bremner,Colin Salmon","When scientists discover something in the Arctic that appears to be a buried Pyramid, they send a research team out to investigate. Little do they know that they are about to step into a hunting ground where Aliens are grown as sport for the Predator race.",395,2004-08-12
857,Scooby-Doo 2: Monsters Unleashed,"Mystery,Fantasy,Adventure,Comedy",Raja Gosnell,"Freddie Prinze Jr.,Sarah Michelle Gellar,Matthew Lillard,Linda Cardellini","When Mystery, Inc. are guests of honor at the grand opening of the Coolsville Museum of Criminology, a masked villain shows up and creates havoc before stealing the costumes of the gang's most notorious villains...Could it be that their nemesis, mad scientist Jonathan Jacobo has returned and is trying to recreate their deadliest foes?",11024,2004-03-24
858,The Polar Express,"Adventure,Animation,Family,Fantasy",Robert Zemeckis,"Tom Hanks,Michael Jeter,Nona Gaye,Peter Scolari","When a doubting young boy takes an extraordinary train ride to the North Pole, he embarks on a journey of self-discovery that shows him that the wonder of life never fades for those who believe.",5255,2004-11-10
859,National Treasure,"Adventure,Action,Thriller,Mystery",Jon Turteltaub,"Nicolas Cage,Diane Kruger,Justin Bartha,Sean Bean","Modern treasure hunters, led by archaeologist Ben Gates, search for a chest of riches rumored to have been stashed away by George Washington, Thomas Jefferson and Benjamin Franklin during the Revolutionary War. The chest's whereabouts may lie in secret clues embedded in the Constitution and the Declaration of Independence, and Gates is in a race to find the gold before his enemies do.",2059,2004-11-19
860,Alexander,"War,History,Action,Adventure,Drama,Romance",Oliver Stone,"Colin Farrell,Angelina Jolie,Val Kilmer,Jared Leto","Alexander, the King of Macedonia, leads his legions against the giant Persian Empire. After defeating the Persians, he leads his army across the then known world, venturing farther than any westerner had ever gone, all the way to India.",1966,2004-11-21
861,Friday Night Lights,Drama,Peter Berg,"Billy Bob Thornton,Lucas Black,Garrett Hedlund,Derek Luke","A small, turbulent town in Texas obsesses over their high school football team to an unhealthy degree. When the star tailback, Boobie Miles, is seriously injured during the first game of the season, all hope is lost, and the town's dormant social problems begin to flare up. It is left to the inspiring abilities of new coach Gary Gaines to instill in the other team members -- and, by proxy, the town itself -- a sense of self-respect and honor.",13416,2004-10-08
862,Taxi,"Thriller,Action,Comedy,Crime",Tim Story,"Queen Latifah,Jimmy Fallon,Gisele Bündchen,Henry Simmons",A mouthy and feisty taxicab driver has hot tips for a green and inept cop set on solving a string of New York City bank robberies committed by a quartet of female Brazilian bank robbers.,11045,2004-10-06
863,Anchorman: The Legend of Ron Burgundy,Comedy,Adam McKay,"Will Ferrell,Christina Applegate,Paul Rudd,David Koechner","It's the 1970s, and San Diego super-sexist anchorman Ron Burgundy is the top dog in local TV, but that's all about to change when ambitious reporter Veronica Corningstone arrives as a new employee at his station.",8699,2004-07-09
864,DodgeBall: A True Underdog Story,Comedy,Rawson Marshall Thurber,"Vince Vaughn,Christine Taylor,Ben Stiller,Rip Torn","When megalomaniacal White Goodman, the owner of a trendy, high-end fitness center, makes a move to take over the struggling local gym run by happy-go-lucky Pete La Fleur, there's only one way for La Fleur to fight back: dodgeball. Aided by a dodgeball guru and Goodman's attorney, La Fleur and his rag-tag team of underdogs launch a knock-down, drag-out battle in which the winner takes all.",9472,2004-06-18
865,The Girl Next Door,"Comedy,Romance",Luke Greenfield,"Emile Hirsch,Elisha Cuthbert,Timothy Olyphant,James Remar","Exceptionally ambitious high schooler Matthew has aspirations for a career in politics when he falls in love with his gorgeous 19-year-old neighbor, Danielle. But Matthew's bright future is jeopardized when he finds Danielle was once a porn star. As Danielle's past catches up with her, Matthew's love for her forces him to re-evaluate his goals.",10591,2004-04-09
866,Ocean's Twelve,"Thriller,Crime",Steven Soderbergh,"George Clooney,Brad Pitt,Matt Damon,Catherine Zeta-Jones","Danny Ocean reunites with his old flame and the rest of his merry band of thieves in carrying out three huge heists in Rome, Paris and Amsterdam – but a Europol agent is hot on their heels.",163,2004-12-09
867,13 Going on 30,"Comedy,Fantasy,Romance",Gary Winick,"Jennifer Garner,Mark Ruffalo,Judy Greer,Andy Serkis","After total humiliation at her thirteenth birthday party, Jenna Rink wants to just hide until she's thirty. With a little magic, her wish is granted, but it turns out that being thirty isn't as always as awesome as she thought it would be!",10096,2004-04-13
868,Mindhunters,"Mystery,Thriller,Crime",Renny Harlin,"LL Cool J,Jonny Lee Miller,Kathryn Morris,Patricia Velásquez",Trainees in the FBI's psychological profiling program must put their training into practice when they discover a killer in their midst.,16617,2004-05-07
869,50 First Dates,"Comedy,Romance",Peter Segal,"Adam Sandler,Drew Barrymore,Rob Schneider,Sean Astin","Henry is a player skilled at seducing women. But when this veterinarian meets Lucy, a girl with a quirky problem when it comes to total recall, he realizes it's possible to fall in love all over again…and again, and again. That's because the delightful Lucy has no short-term memory, so Henry must woo her day after day until he finally sweeps her off her feet.",1824,2004-02-13
870,The Prince & Me,"Comedy,Romance",Martha Coolidge,"Julia Stiles,Luke Mably,Ben Miller,Miranda Richardson","A fairy tale love-story about pre-med student Paige who falls in love with a Danish Prince ""Eddie"" who refused to follow the traditions of his parents and has come to the US to quench his thirst for rebellion. Paige and Edward come from two different worlds, but there is an undeniable attraction between them.",11137,2004-03-28
871,The Village,"Drama,Mystery,Thriller",M. Night Shyamalan,"Bryce Dallas Howard,Joaquin Phoenix,Adrien Brody,William Hurt","When a willful young man tries to venture beyond his sequestered Pennsylvania hamlet, his actions set off a chain of chilling incidents that will alter the community forever.",6947,2004-07-30
872,The Day After Tomorrow,"Action,Adventure,Science Fiction,Thriller",Roland Emmerich,"Dennis Quaid,Jake Gyllenhaal,Emmy Rossum,Dash Mihok","After years of increases in the greenhouse effect,  havoc is wreaked globally in the form of catastrophic hurricanes, tornadoes, tidal waves, floods and the beginning of a new Ice Age. Paleoclimatologist, Jack Hall tries to warn the world while also shepherding to safety his son, trapped in New York after the city is overwhelmed by the start of the new big freeze.",435,2004-05-26
873,The Bourne Supremacy,"Action,Drama,Thriller",Paul Greengrass,"Matt Damon,Franka Potente,Brian Cox,Julia Stiles","When a CIA operation to purchase classified Russian documents is blown by a rival agent, who then shows up in the sleepy seaside village where Bourne and Marie have been living. The pair run for their lives and Bourne, who promised retaliation should anyone from his former life attempt contact, is forced to once again take up his life as a trained assassin to survive.",2502,2004-07-23
874,Shaun of the Dead,"Horror,Comedy",Edgar Wright,"Simon Pegg,Nick Frost,Kate Ashfield,Lucy Davis","Shaun lives a supremely uneventful life, which revolves around his girlfriend, his mother, and, above all, his local pub. This gentle routine is threatened when the dead return to life and make strenuous attempts to snack on ordinary Londoners.",747,2004-04-09
875,Harold & Kumar Go to White Castle,"Comedy,Adventure",Danny Leiner,"John Cho,Kal Penn,Paula Garcés,Neil Patrick Harris","Sometimes, it takes a strange night to put everything else into focus. And that's exactly what happens to Harold and his roommate, Kumar, when they set out to get the best stoner fix money can buy: White Castle hamburgers. Both guys are at a crossroads, about to make major decisions that will affect the course of their lives. Yet they arrive at wisdom by accident as they drive around New Jersey in search of fast food.",11282,2004-05-30
876,Ella Enchanted,"Family,Fantasy,Comedy",Tommy O'Haver,"Anne Hathaway,Hugh Dancy,Cary Elwes,Vivica A. Fox","Ella lives in a magical world in which each child, at the moment of their birth, is given a virtuous ""gift"" from a fairy godmother. Ella's so-called gift, however, is obedience. This birthright proves itself to be quite the curse once Ella finds herself in the hands of several unscrupulous characters whom she quite literally cannot disobey. Determined to gain control of her life and decisions, Ella sets off on a journey to find her fairy godmother who she hopes will lift the curse. The path, however, isn't easy -- Ella must outwit a slew of unpleasant obstacles including ogres, giants, wicked stepsisters, elves and Prince Charmont's evil uncle, who wants to take over the crown and rule the kingdom.",14442,2004-04-09
877,Sky Captain and the World of Tomorrow,"Mystery,Action,Thriller,Science Fiction,Adventure",Kerry Conran,"Jude Law,Gwyneth Paltrow,Giovanni Ribisi,Michael Gambon","When gigantic robots attack New York City, ""Sky Captain"" uses his private air force to fight them off. His ex-girlfriend, reporter Polly Perkins, has been investigating the recent disappearance of prominent scientists. Suspecting a link between the global robot attacks and missing men, Sky Captain and Polly decide to work together. They fly to the Himalayas in pursuit of the mysterious Dr. Totenkopf, the mastermind behind the robots.",5137,2004-09-17
878,Catwoman,"Action,Fantasy,Mystery",Pitof,"Halle Berry,Benjamin Bratt,Sharon Stone,Lambert Wilson","Liquidated after discovering a corporate conspiracy, mild-mannered graphic artist Patience Phillips washes up on an island, where she's resurrected and endowed with the prowess of a cat -- and she's eager to use her new skills ... as a vigilante. Before you can say ""cat and mouse,"" handsome gumshoe Tom Lone is on her tail.",314,2004-07-22
879,Mean Girls,Comedy,Mark Waters,"Lindsay Lohan,Rachel McAdams,Lacey Chabert,Amanda Seyfried","Cady Heron is a hit with The Plastics, the A-list girl clique at her new school, until she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George.",10625,2004-04-30
880,Around the World in 80 Days,"Action,Adventure,Comedy",Frank Coraci,"Jackie Chan,Steve Coogan,Cécile de France,Robert Fyfe","A bet pits a British inventor, a Chinese thief and a French artist on a worldwide adventure that they can circle the globe in 80 days.",10204,2004-06-16
881,Closer,"Drama,Romance",Mike Nichols,"Julia Roberts,Jude Law,Natalie Portman,Clive Owen","A witty, romantic, and very dangerous love story about chance meetings, instant attractions, and casual betrayals. Two couples disintegrate when they begin destructive adulterous affairs with each other.",2288,2004-12-01
882,Meet the Fockers,"Comedy,Romance",Jay Roach,"Ben Stiller,Teri Polo,Robert De Niro,Dustin Hoffman","Hard-to-crack ex-CIA man, Jack Byrnes and his wife, Dina head for the warmer climes of Florida to meet son-in-law-to-be, Greg Focker's parents. Unlike their happily matched offspring, the future in-laws find themselves in a situation of opposites that definitely do not attract.",693,2004-12-22
883,Starsky & Hutch,"Comedy,Crime",Todd Phillips,"Ben Stiller,Owen Wilson,Snoop Dogg,Fred Williamson","Join uptight David Starsky and laid-back Ken ""Hutch"" Hutchinson as they're paired for the first time as undercover cops. The new partners must overcome their differences to solve an important case with help from street informant Huggy Bear and persuasive criminal Reese Feldman.",9384,2004-03-05
884,The Punisher,"Action,Crime,Drama",Jonathan Hensleigh,"Thomas Jane,John Travolta,Will Patton,Roy Scheider","When undercover FBI agent Frank Castle's wife and son are slaughtered, he becomes 'the Punisher' -- a ruthless vigilante willing to go to any length to avenge his family.",7220,2004-04-15
